Name,r,CEGuS Status,Time,k,|S_L|,|S|,|C|
fossil_nonpoly0,1.0,FOUND,0.8002617452293634,1,16,53,84
fossil_nonpoly0,5.0,FOUND,2.792804131284356,2,245,620,1218
fossil_nonpoly0,10.0,FOUND,8.437760956585407,2,62,3579,7136
fossil_nonpoly1,1.0,FOUND,0.7798050846904516,1,16,96,170
fossil_nonpoly1,5.0,FOUND,1520.3543462809175,6,11408,116843,233662
fossil_nonpoly1,10.0,SAMPLE_LIMIT,5950.297416001558,5,55338,379476,758924
fossil_nonpoly2,1.0,FOUND,7.814222015440464,1,56,1007,6092
fossil_nonpoly2,5.0,FOUND,111.2197331674397,1,56,2776,17594
fossil_nonpoly2,10.0,FOUND,2819.900614099577,5,25486,37675,243765
fossil_nonpoly3,1.0,FOUND,48.07442784868181,1,56,2589,16353
fossil_nonpoly3,5.0,FOUND,983.315645776689,1,56,44415,280399
fossil_nonpoly3,10.0,TIME_LIMIT,nan,-1,-1,-1,-1
fossil_poly1,1.0,SAMPLE_LIMIT,4227.801838427782,1,56,315160,2077599
fossil_poly1,5.0,SAMPLE_LIMIT,4912.271540721878,2,766,397105,2596811
fossil_poly1,10.0,SAMPLE_LIMIT,11131.52823964879,2,742,436605,2875131
fossil_poly2,1.0,FOUND,13.643292631953955,1,16,308,594
fossil_poly2,5.0,FOUND,22.75876405648887,7,1090,1183,2344
fossil_poly2,10.0,FOUND,169.71223370544612,6,2583,3133,6244
fossil_poly3,1.0,FOUND,25.427199855446815,1,16,2407,4792
fossil_poly3,5.0,FOUND,26.330000951886177,1,16,2664,5306
fossil_poly3,10.0,FOUND,149.95146278478205,1,16,2762,5502
fossil_poly4,1.0,FOUND,22.427760649472475,1,16,1111,2200
fossil_poly4,5.0,FOUND,614.947483304888,2,62,92708,185394
fossil_poly4,10.0,SAMPLE_LIMIT,1435.959073746577,3,604,420298,840574
